,Vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,Prediction
138,nas,115,2000,8000,16,1,3,50,53.0
135,magnuson,50,2000,16000,24,6,16,54,55.0
54,dg,110,1000,4000,16,1,2,26,60.0
56,dg,220,1000,8000,16,1,2,71,30.0
92,honeywell,140,2000,4000,8,1,20,22,28.0
89,honeywell,140,2000,8000,32,1,54,66,189.0
90,honeywell,140,2000,32000,32,1,54,141,189.0
31,cdc,25,1310,2620,131,12,24,368,274.0
36,cdc,50,500,2000,8,1,4,20,29.0
113,ibm,225,2000,4000,8,3,6,34,18.428571428571427
104,ibm,600,768,2000,0,1,1,16,18.428571428571427
111,ibm,900,2000,4000,0,3,6,37,18.428571428571427
114,ibm,180,2000,8000,8,1,6,50,53.333333333333336
116,ibm,180,2000,16000,16,1,6,66,76.0
127,ipl,50,2000,8000,8,1,6,56,36.0
181,siemens,240,512,1000,8,1,3,6,27.5
182,siemens,240,512,2000,8,1,5,11,27.5
64,gould,75,2000,16000,64,1,38,144,259.0
59,formation,800,256,8000,0,1,4,20,16.666666666666668
58,formation,800,256,8000,0,1,4,14,16.666666666666668
193,sperry,116,2000,8000,32,5,28,70,114.0
195,sperry,50,2000,32000,48,26,52,208,114.0
70,hp,75,2000,8000,8,3,24,62,23.666666666666668
67,hp,105,256,2000,0,3,10,26,23.666666666666668
11,apollo,400,512,3500,4,1,6,40,38.0
208,wang,480,1000,4000,0,0,0,45,67.0
163,ncr,56,4000,12000,0,1,8,42,40.0
143,nas,75,4000,16000,16,1,6,66,41.8
93,ibm,57,4000,16000,1,6,12,132,100.0
22,burroughs,143,2300,6200,0,6,64,61,76.0
186,siemens,52,4000,16000,32,4,12,130,113.0
166,ncr,38,4000,8000,32,16,32,116,51.0
19,burroughs,110,5000,5000,142,8,64,120,177.4
5,amdahl,26,8000,32000,64,8,32,318,220.33333333333334
191,siemens,26,8000,32000,64,12,16,248,405.0
6,amdahl,23,16000,32000,64,16,32,367,487.5
7,amdahl,23,16000,32000,64,16,32,489,487.5
8,amdahl,23,16000,64000,64,16,32,636,915.0
53,dg,200,1000,8000,0,1,2,36,71.0
142,nas,92,2000,8000,4,1,6,50,59.5
144,nas,60,4000,16000,32,1,6,86,59.5
139,nas,115,2000,4000,2,1,5,40,59.5
149,nas,72,2000,8000,16,6,8,105,59.5
